# Highlighted Box Centers Coordinates
# Image: 1347x386 px
# Grid: 8 rows × 20 columns
# Overlap: X=80%, Y=85%
# Box dimensions: 280.63x188.29 px
# Box aspect ratio: 1.49
# Total highlighted boxes: 55

Number,X,Y,Column,Row
undefined,140.31,291.85,1,1
undefined,140.31,235.37,1,3
undefined,140.31,207.12,1,4
undefined,140.31,178.88,1,5
undefined,140.31,150.63,1,6
undefined,196.44,150.63,2,3
undefined,196.44,207.12,2,5
undefined,196.44,235.37,2,6
undefined,252.56,235.37,3,3
undefined,252.56,122.39,3,7
undefined,308.69,122.39,4,2
undefined,308.69,235.37,4,6
undefined,364.81,291.85,5,1
undefined,364.81,235.37,5,3
undefined,364.81,150.63,5,6
undefined,420.94,94.15,6,1
undefined,420.94,178.88,6,4
undefined,420.94,263.61,6,7
undefined,477.06,263.61,7,2
undefined,477.06,178.88,7,5
undefined,477.06,94.15,7,8
undefined,533.19,150.63,8,3
undefined,533.19,207.12,8,5
undefined,533.19,291.85,8,8
undefined,589.31,263.61,9,2
undefined,589.31,207.12,9,4
undefined,589.31,122.39,9,7
undefined,645.44,178.88,10,4
undefined,645.44,235.37,10,6
undefined,701.56,291.85,11,1
undefined,701.56,178.88,11,5
undefined,757.69,94.15,12,1
undefined,757.69,207.12,12,5
undefined,757.69,291.85,12,8
undefined,813.81,207.12,13,4
undefined,813.81,94.15,13,8
undefined,869.94,150.63,14,3
undefined,869.94,207.12,14,5
undefined,869.94,263.61,14,7
undefined,926.06,207.12,15,4
undefined,926.06,122.39,15,7
undefined,982.19,94.15,16,1
undefined,982.19,178.88,16,4
undefined,982.19,235.37,16,6
undefined,1038.31,291.85,17,1
undefined,1038.31,235.37,17,3
undefined,1038.31,150.63,17,6
undefined,1038.31,94.15,17,8
undefined,1094.44,150.63,18,3
undefined,1094.44,207.12,18,5
undefined,1094.44,291.85,18,8
undefined,1150.56,263.61,19,2
undefined,1150.56,122.39,19,7
undefined,1206.69,122.39,20,2
undefined,1206.69,178.88,20,4
undefined,1206.69,291.85,20,8

# JSON format:
[
  {
    "numero": 1,
    "x": 140.31,
    "y": 291.85,
    "col": 1,
    "row": 1
  },
  {
    "numero": 3,
    "x": 140.31,
    "y": 235.37,
    "col": 1,
    "row": 3
  },
  {
    "numero": 4,
    "x": 140.31,
    "y": 207.12,
    "col": 1,
    "row": 4
  },
  {
    "numero": 5,
    "x": 140.31,
    "y": 178.88,
    "col": 1,
    "row": 5
  },
  {
    "numero": 6,
    "x": 140.31,
    "y": 150.63,
    "col": 1,
    "row": 6
  },
  {
    "numero": 11,
    "x": 196.44,
    "y": 150.63,
    "col": 2,
